소속		가성비 스킬작			종결 스킬작			하모니 큐브				오버로드 옵션(옵션 우선도 순)	"높음: 우선 세팅
보통 : 남는 모듈로 세팅
낮음 : 모듈 투자 X"
		1스킬	2스킬	버스트	1스킬	2스킬	버스트						
		7	7	7	10	10	10					"우월코드 / 공격력 / 장탄
크리티컬 확률 / 크리티컬 대미지"	"스킬 우선순위: 1스킬 > 버스트 > 2 스킬
오버로드 중요도: 높음
장탄 옵션 최소 2줄 필수"
	라피 : 레드 후드							렐릭 베어		택티컬 베어			
		7	7	7	10	10	10					우월코드 / 장탄 / 공격력	"스킬 우선순위: 버스트 = 1스킬 > 2스킬
오버로드 중요도: 높음
우선 순위 : 장탄 1줄 > 우월코드 > 공격력
장탄 증가는 2줄 까지만"
	신데렐라							택티컬 베어					
		7	7	7	10	7	10					우월코드 / 장탄 / 공격력 / 차지 속도	"스킬 우선순위: 버스트 > 1스킬 > 2스킬
오버로드 중요도 : 높음
장탄 1줄 (50%) 이상
차지 속도 1줄(4%) 이상"
	홍련 : 흑영							렐릭 베어		택티컬 베어	렐릭 부스트		
		7	7	7	10	10	10					공격력 / 우월코드 / 장탄	"스킬 우선순위: 1스킬 = 2스킬 = 버스트
오버로드 중요도: 보통"
	미하라 : 본딩 체인							렐릭 베어		택티컬 베어			
		7	7	7	10	10	10					"우월코드 / 공격력 / 차지 데미지 / 장탄
크리티컬 확률 / 크리티컬 대미지"	"스킬 우선순위: 1스킬 = 2스킬 = 버스트
오버로드 우선도: 높음
차지 속도가 고정이라 옵션 적용 X"
	나유타							렐릭 베어		택티컬 베어	택티컬 어썰트		
		7	7	7	10	10	10					우월코드 / 장탄 / 공격력	"스킬 우선순위: 1스킬 = 2스킬 = 버스트
오버로드 중요도 : 보통"
	크라운							렐릭 베어		택티컬 베어			
		7	7	7	10	10	10					차지 속도 / 우월코드 / 공격력	"스킬 우선순위: 2스킬 > 1스킬 > 버스트
오버로드 중요도: 보통
마지막 탄 기믹 보유 장탄 증가 X
차지 속도 > 우월코드"
	헬름 ( 애장품 )							렐릭 베어		렐릭 부스트			
		9	7	7	10	10	10					우월코드 / 장탄 / 공격력 / 명중률	"스킬 우선순위: 1스킬 > 2스킬 = 버스트
오버로드 중요도: 높음"
	리틀 머메이드							렐릭 베어		택티컬 베어			
		7	7	7	10	10	10					"공격력 / 우월코드 / 명중률
크리티컬 확률 / 크리티컬 대미지 / 장탄"	"스킬 우선순위: 1스킬 = 2스킬 = 버스트
오버로드 중요도:높음
공 4줄, 우코 4줄, 장탄 1줄
이후 명중 3줄 or 크리 관련 3줄"
	도로시 : 세렌디피티							렐릭 베어					
		7	7	7	10	10	10					"우월코드 / 장탄 / 공격력
차지 속도 / 차지 대미지"	"스킬 우선순위: 1스킬 = 2스킬 = 버스트
오버로드 중요도: 높음"
	레드 후드							렐릭 베어		렐릭 부스트			
		7	4	4	10	10	10					우월코드 / 공격력 / 차지 속도 / 장탄	"스킬 우선순위: 1스킬 > 2스킬 = 버스트
오버로드 우선도: 높음
차지 속도 6~7% 이상 권장
https://arca.live/b/nikketgv/152877768
위 링크에서 버프 적용 확인 가능"
	리버렐리오							렐릭 베어					
		7	7	7	10	10	10					차지 속도 / 장탄 / 우월코드 / 공격력	"스킬 우선순위: 1스킬 > 2스킬 = 버스트
오버로드 중요도: 낮음"
	루주							렐릭 베어		렐릭 부스트			
		7	7	7	10	10	10					우월코드 / 장탄 / 공격력 / 명중률 	"스킬 우선순위: 2스킬 = 버스트 > 1스킬
오버로드 중요도: 낮음"
	마스트 : 로망틱 메이드							렐릭 베어					
		7	4	7	10	4	10					우월코드 / 장탄 / 공격력 / 차지 속도	"스킬 우선순위: 1스킬 =  버스트 > 2스킬
오버로드 중요도: 높음
차지 속도 8.4% 최우선 세팅"
	앨리스							렐릭 베어		렐릭 부스트			
		7	4	7	10	4	10					 우월코드 / 장탄 / 공격력	"스킬 우선순위: 1스킬 =  버스트 > 2스킬
오버로드 중요도: 낮음"
	리타							렐릭 베어		택티컬 베어	택티컬 부스트		
		4	7	4	9	10	9					장탄 / 차지 속도 / 우월코드 / 공격력	"스킬 우선순위: 2스킬 > 버스트 > 1스킬
오버로드 중요도: 낮음"
	D : 킬러 와이프							렐릭 베어		택티컬 베어	렐릭 부스트		
		9	7	7	10	10	10					 우월코드 / 장탄 / 공격력	"스킬 우선순위: 1스킬 > 2스킬 = 버스트
오버로드 중요도: 낮음
애장품 없는 토브는 장탄 증가 2줄 이상"
	토브 ( 애장품 )							렐릭 베어		택티컬 베어			
		7	7	7	10	10	9					우월코드 / 공격력 / 명중률	"스킬 우선순위: 버스트 > 1스킬 = 2스킬
오버로드 중요도: 보통
마지막 탄 기믹 보유 장탄 증가 X"
	아니스 : 스파클링 서머							렐릭 베어					
